parameter,mean,sd,q2.5,q50,q97.5
mu,0.0009683951642967809,0.00026994153082684157,0.00043681513446098777,0.0009677483747018286,0.0014888898071983476
sigma2,3.9859641652924694e-05,3.6821954877268825e-06,3.3092839762695214e-05,3.9651817763946556e-05,4.752097284567256e-05
nu,3.90972001412972,0.5885462484926806,2.930430561435178,3.8569784840402344,5.232177902247393
