iter,mu,sigma2,nu
2315,0.0005939874440370504,3.343760349152655e-05,2.8915684054673343
2320,0.0010480737372880627,3.7678067625333977e-05,2.8430563313253265
2325,0.0007869896608277469,3.845690419393417e-05,2.8021553719932775
2330,0.001315398457951566,3.418870553774212e-05,2.949132936887441
2335,0.0010083614298553184,3.2845622137736274e-05,2.7518349536908566
2340,0.0007857537384101764,3.293094771042773e-05,3.382067445741784
2345,0.00031631670245338823,3.981303405849848e-05,3.66978964649553
2350,0.0009049834974304866,3.421890488926293e-05,3.536109652045765
2355,0.0015818065014675338,3.9317567639680746e-05,3.5734394195324155
2360,0.0011181451515228154,3.966697322654877e-05,3.4142522300857125
2365,0.0009175355345848987,3.3422259100071726e-05,3.3932039451588714
2370,0.0012118634354674443,3.69692348695087e-05,4.405335533696203
2375,0.001244825854785677,3.8212829687501224e-05,3.8204371657699623
2380,0.0009580826393315752,3.568955132139436e-05,4.113275670029358
2385,0.0011786921356125328,3.893762669571213e-05,3.8328079145976277
2390,0.001723672364429251,3.872732111064645e-05,3.480743526338626
2395,0.0011313691706609304,3.827433408183647e-05,3.289559853864666
2400,0.0007354145557323433,3.5883520792708914e-05,3.289293612246758
2405,0.0009402945295998695,3.741850985950384e-05,3.268016658597721
2410,0.0008950450938403782,3.583474189044459e-05,3.2147261335481447
2415,0.00114348250588443,3.887338145379727e-05,3.748910194174366
2420,0.0011833234167872493,4.234793029021315e-05,3.8330065863630933
2425,0.000987802127885399,3.704829148325996e-05,3.369650913550507
2430,0.00045266768483510266,3.805891189450791e-05,3.3801655705128564
2435,0.0012514491917642765,3.37004887409102e-05,3.2811795225273968
2440,0.0014627979349171726,3.842877342699818e-05,3.864455525601058
2445,0.0010887681753116005,4.139296209002449e-05,3.6603882357598536
2450,0.0010588899089008503,4.0599492441057416e-05,3.6823470695329537
2455,0.0008382761411875602,3.898108099688205e-05,3.869491104828083
2460,0.0006550620661856547,3.586261094995503e-05,3.4445315319236753
2465,0.0010954311745160028,3.6918753602370626e-05,3.428584905245499
2470,0.0006910514272584072,3.965265636743278e-05,3.412209134726941
2475,0.0013070584211695145,3.726371535501479e-05,3.3483156792276896
2480,0.000987307607295361,3.7407644239667686e-05,3.4575032533301844
2485,0.001112578854111512,3.8297360271236275e-05,3.466295970566599
2490,0.0009826908210892934,3.599892225044444e-05,3.6340682865303124
2495,0.0011998453373669817,4.369238542704682e-05,4.504160986407134
2500,0.0008204020630310531,4.162132330295962e-05,4.865981931997844
2505,0.0009186219736911664,3.9409234712556934e-05,4.713812230184483
2510,0.0009322563426950229,4.1475572730195306e-05,5.199276712255012
2515,0.0010501595660957269,4.32640059824499e-05,5.346648335170952
2520,0.0007539333649303355,4.369059931554455e-05,5.209910245750074
2525,0.0007118947628932088,4.148324799441842e-05,5.474300058124723
2530,0.0005561223343385692,4.640402314423129e-05,5.678586679741823
2535,0.0006666110599716547,4.009436780122166e-05,5.428972341040154
2540,0.0014458474357377416,3.8118721318170887e-05,4.7622839701137165
2545,0.0010415576060856615,4.2232822098113155e-05,4.8795838205429245
2550,0.0005043266738418127,4.4067359746082536e-05,4.499154812327848
2555,0.0009356316855471449,3.926852038881868e-05,4.795181351452818
2560,0.001583988771209175,4.461429853359889e-05,4.565039259250873
2565,0.00027591488809335665,4.4031591745137576e-05,4.50587331001864
2570,0.0009905937310527026,4.767277755003337e-05,4.541975969403445
2575,0.0009205801790132729,4.335431459370681e-05,4.645646278539282
2580,0.0005902138076949605,3.87467442112213e-05,4.825535620512423
2585,0.0006128926742671524,4.60976718013751e-05,4.834446430562929
2590,0.0011895027901171514,4.462129447538831e-05,4.734339009330636
2595,0.0012355569396049135,4.073759638256556e-05,4.5238393382019835
2600,0.0007549780473496423,4.1370790348041345e-05,4.2434409650457
2605,0.0011296140104100113,4.6466773426208744e-05,4.326432428906492
2610,0.0011044379575212242,4.341977246976173e-05,4.0788249832523995
2615,0.0011059576782858848,4.4463120457998717e-05,4.2382854657719875
2620,0.0009834527690600959,3.723921176415782e-05,4.347886708751888
2625,0.0011546141544107077,4.188869128415903e-05,4.42965830138149
2630,0.0013171614413289654,4.360127575390413e-05,4.714859567526702
2635,0.0009582094282745722,4.071056779622947e-05,5.406603309470805
2640,0.0009513657757910368,4.5569445062008315e-05,6.2638906363833184
2645,0.0006602684723405025,3.9853487625148626e-05,5.046989551421957
2650,0.0009683509196593499,4.0652068124217865e-05,4.9363592090965
2655,0.00048422784012245977,4.521043237917525e-05,5.766450842866942
2660,0.0001871235622330674,4.641213993501176e-05,6.318005272192004
2665,0.0008537266751346094,4.987945672720282e-05,6.0360808438670865
2670,0.0005295190228450465,5.0311857934742265e-05,5.8358233932751515
2675,0.0008849382197827117,5.0734362962222085e-05,5.490307592257226
2680,0.001261979223292947,4.515502493222886e-05,5.183507007946459
2685,0.0007323523696496904,4.3969913182194405e-05,5.383643255873608
2690,0.0011927317359865482,4.2748857272097885e-05,5.704785508958303
2695,0.0010279544812375073,4.390642651052995e-05,5.9927066454046205
2700,0.0010034304645929065,4.7284215829853864e-05,5.611690836323016
2705,0.0005929858025202961,3.8996787879916735e-05,5.6988666204695075
2710,0.0009391283374144331,3.988053699928702e-05,5.466065200893421
2715,0.0009710398603236621,5.3870052788449905e-05,6.141088842663683
2720,0.0009495396837649078,4.5795111320119976e-05,6.094953799443501
2725,0.0011965687948134313,4.338675224066398e-05,4.871683329812103
2730,0.0007288417214910871,4.4319029210272426e-05,4.392508727686092
2735,0.0012700995483564581,4.219729237165315e-05,4.118574299691433
2740,0.001025945407267239,3.6706513806643015e-05,4.200758474620237
2745,0.001088703545645959,3.6988679504285005e-05,4.003215420087384
2750,0.0004672825921983198,3.977122259601209e-05,4.260297334321203
2755,0.0012284623644007139,3.9909561505674876e-05,3.9157248327106915
2760,0.0007757094101111742,4.135118151731994e-05,3.6291883063936776
2765,0.000836256360757035,4.262541043248464e-05,3.798504192150774
2770,0.001176087813888769,3.8508153909820894e-05,3.6006154465886615
2775,0.001429933919295134,3.685696254587297e-05,3.522751529700942
2780,0.0008322073459694324,3.479486154275991e-05,3.256809202456057
2785,0.0010886373019348883,3.65558579294349e-05,3.425339372267905
2790,0.0013633068993451924,3.96603907566177e-05,3.520550597011707
2795,0.0008689983471542822,4.117048397264214e-05,3.927103404923644
2800,0.001194042355583881,3.506813495221366e-05,3.9450721837427056
2805,0.0007456375154704064,3.523198703890229e-05,3.6803208308270494
2810,0.0012098653352988794,3.939465769830284e-05,3.657780827416161
2815,0.0009625842110689441,4.4839400573805756e-05,3.798068477730575
2820,0.000769476964287431,3.4207577032034364e-05,3.4187020306793365
2825,0.000640979956357287,3.7187080330072016e-05,3.829881599310051
2830,0.0007856984723430306,4.033623763319075e-05,3.8499683263373816
2835,0.0013690925592179377,3.975219518644939e-05,3.549381870184728
2840,0.000923403820007354,3.327527882257301e-05,3.768044323291584
2845,0.000600415478828869,4.384101121770429e-05,3.8951851174288485
2850,0.001103252428374272,4.715508020578417e-05,4.556036456543963
2855,0.0010966420308191316,4.546077590792689e-05,4.327741302539184
2860,0.0005132221982239533,4.491870237963407e-05,4.4811957001639
2865,0.0007402690163454124,4.167792886540794e-05,4.461774141632771
2870,0.0006127452680676626,4.3884428588183656e-05,4.134570728739526
2875,0.0014887298945819411,3.744569751968217e-05,3.8153131000847855
2880,0.0010988652134812928,4.145189843082881e-05,4.01193408679744
2885,0.0008487208907677765,3.774691121802528e-05,3.9283634621133627
2890,0.0010603356947026224,4.0507868996998556e-05,3.9883831498500917
2895,0.0008952078438275563,4.511900394306792e-05,4.234391508484384
2900,0.0010226429190180488,4.35549677606576e-05,3.876822558655762
2905,0.0006969091473725363,3.9076498657511106e-05,3.613089766862406
2910,0.001213814884354616,3.935809004932343e-05,3.774991378159742
2915,0.0010902528194971415,3.324684664913786e-05,3.5363659402989613
2920,0.0008165009321097854,3.6651090421933604e-05,3.686914463755735
2925,0.001011271903337974,3.951313297192854e-05,3.4143571648467472
2930,0.0009283127580297154,3.8101390982897195e-05,3.307101278890179
2935,0.0016647885609227396,3.4305314522317476e-05,3.205536533109534
2940,0.0009262136757006579,2.91033457705648e-05,2.5296425629999533
2945,0.0011562413734569374,3.2910995578321133e-05,2.7216188897721043
2950,0.0012323031212677043,3.107179322501074e-05,2.9093191709395363
2955,0.0008917467727137632,3.847270457722932e-05,3.0808224706826177
2960,0.001217646283859672,3.794951376822362e-05,3.582972469869
2965,0.0010666770046686884,4.0403508132384875e-05,3.5665066136576646
2970,0.0006629230226919648,4.4193239754099456e-05,3.6243085120591685
2975,0.0008287009952625767,3.738207521376095e-05,3.6431295839927076
2980,0.0008925842091355932,3.624649306865752e-05,3.4407138723482094
2985,0.0008168147786347279,4.123648280738914e-05,3.3593106567602455
2990,0.0009734529081034343,3.5156584335089864e-05,3.0674358053794077
2995,0.0011265652465718913,3.3658873904257216e-05,2.825971626982724
3000,0.0009923807444171587,3.329608250123734e-05,2.7004071605455064
3005,0.0008876563118459968,4.199320577998116e-05,2.8720977416887106
3010,0.000804965222914187,3.5942694932121534e-05,2.7848993982704546
3015,0.0012336694917307368,4.3366617249493594e-05,2.956173615003926
3020,0.000787531977222942,4.047336910706756e-05,3.2426114098673766
3025,0.0006120850593316005,3.699581810592543e-05,3.6349698046417815
3030,0.0009942469738896122,3.758163046762187e-05,3.6902846380920087
3035,0.0007623149106094926,3.5943094394894405e-05,3.7481069314531457
3040,0.0006159673948286069,4.0229990845549615e-05,4.11141124106498
3045,0.0011115654704123643,4.25803869134436e-05,4.052384075415908
3050,0.0011722946430945578,3.9672326397238524e-05,3.7369980333648414
3055,0.0009374472925528195,3.996484261660832e-05,3.730778788532346
3060,0.000880642096097345,3.6885344654972744e-05,3.9462935139670936
3065,0.001323256406362505,3.5638248079313656e-05,3.3425198330019006
